geography,geographic_area_name,estimate_,margin_of_error_,estimate_citizen_born_in_us,margin_of_error_citizen_born_in_us,estimate_citizen_born_in_puerto_rico_orisland_areas,margin_of_error_citizen_born_in_puerto_rico_orisland_areas,estimate_citizen_born_abroad_of_american_parent_s_,margin_of_error_citizen_born_abroad_of_american_parent_s_,estimate_citizen_by_naturalization,margin_of_error_citizen_by_naturalization,estimate_not_a_citizen,margin_of_error_not_a_citizen,prop_citizen_born_in_us,prop_citizen_born_in_puerto_rico_orisland_areas,prop_citizen_born_abroad_of_american_parent_s_,prop_citizen_by_naturalization,prop_not_a_citizen
0500000US01003,"Baldwin County, Alabama",261608.0,*****,247172.0,3402.0,163.0,247.0,1496.0,742.0,8219.0,1766.0,4558.0,2610.0,0.9448182012782483,0.0006230696308981376,0.005718479557200086,0.03141723494694352,0.017423014586709886
0500000US01015,"Calhoun County, Alabama",116427.0,*****,109548.0,1559.0,269.0,283.0,1722.0,692.0,2608.0,1062.0,2280.0,970.0,0.9409157669612719,0.00231046063198399,0.014790383673890076,0.022400302335368945,0.01958308639748512
0500000US01043,"Cullman County, Alabama",92604.0,*****,90390.0,725.0,0.0,213.0,317.0,308.0,584.0,481.0,1313.0,691.0,0.9760917454969548,0.0,0.0034231782644378213,0.006306423048680403,0.014178653189927
0500000US01049,"DeKalb County, Alabama",73122.0,*****,67142.0,2013.0,0.0,213.0,154.0,144.0,699.0,612.0,5127.0,1999.0,0.9182188670988212,0.0,0.002106069308826345,0.009559366538114384,0.07011569705423812
0500000US01051,"Elmore County, Alabama",91042.0,*****,89124.0,986.0,109.0,104.0,548.0,503.0,492.0,397.0,769.0,731.0,0.9789328002460402,0.001197249621054019,0.006019199929702774,0.005404099206959425,0.008446650996243492
0500000US01055,"Etowah County, Alabama",103207.0,*****,99584.0,958.0,176.0,268.0,738.0,559.0,1075.0,506.0,1634.0,591.0,0.9648957919520963,0.0017053106862906587,0.007150677764105148,0.010415960157741239,0.015832259439766683
0500000US01069,"Houston County, Alabama",109366.0,*****,104376.0,825.0,269.0,185.0,838.0,271.0,1250.0,412.0,2633.0,724.0,0.9543733884388201,0.0024596309639193167,0.007662344787228206,0.01142951191412322,0.02407512389590915
0500000US01073,"Jefferson County, Alabama",664744.0,*****,622102.0,5667.0,398.0,404.0,4293.0,2718.0,12227.0,2073.0,25724.0,4612.0,0.9358519971598089,0.0005987267278832152,0.0064581252331724695,0.01839354698951777,0.038697603889617654
0500000US01077,"Lauderdale County, Alabama",97502.0,*****,94974.0,981.0,16.0,35.0,646.0,504.0,764.0,540.0,1102.0,660.0,0.9740723267215031,0.00016409919796516993,0.006625505117843737,0.007835736702836864,0.01130233225985108
0500000US01081,"Lee County, Alabama",187847.0,*****,169854.0,1984.0,260.0,299.0,1239.0,581.0,3659.0,1140.0,12835.0,2205.0,0.9042146001799337,0.001384105149403504,0.006595793385042082,0.019478618237182388,0.06832688304843836
0500000US01083,"Limestone County, Alabama",118942.0,*****,113457.0,1537.0,315.0,400.0,1613.0,916.0,1779.0,837.0,1778.0,1064.0,0.9538850868490525,0.002648349615779119,0.013561231524608633,0.01495686973482874,0.01494846227573103
0500000US01089,"Madison County, Alabama",423355.0,*****,386874.0,3792.0,731.0,632.0,6984.0,1775.0,13598.0,2320.0,15168.0,3338.0,0.9138288197848141,0.001726683279989607,0.016496793471200293,0.03211961592516918,0.035828087538826756
0500000US01095,"Marshall County, Alabama",102156.0,*****,92583.0,1498.0,1925.0,1628.0,773.0,503.0,2665.0,1008.0,4210.0,1205.0,0.906290379419711,0.018843729198480756,0.007566858530091233,0.026087552370883747,0.041211480480833236
0500000US01097,"Mobile County, Alabama",412339.0,*****,393953.0,2178.0,298.0,302.0,1585.0,620.0,9465.0,1585.0,7038.0,1757.0,0.9554104753612925,0.0007227063168897437,0.0038439245378196095,0.022954413722689342,0.017068480061308778
